"state_code","latitude","longitude","zip_code","id","city","name","founded_at","closed_at","first_funding_at","last_funding_at","age_first_funding_year","age_last_funding_year","age_first_milestone_year","age_last_milestone_year","relationships","funding_rounds","funding_total_usd","milestones","is_CA","is_NY","is_MA","is_TX","is_otherstate","category_code","is_software","is_web","is_mobile","is_enterprise","is_advertising","is_gamesvideo","is_ecommerce","is_biotech","is_consulting","is_othercategory","has_VC","has_angel","has_roundA","has_roundB","has_roundC","has_roundD","is_top500","status"
"CA",37.452992,-122.185098,"94025","c:4829","Menlo Park","Center'd",2006-01-01,2011-12-02,2007-02-01,2011-05-03,1.0849,5.337,-0.6164,4.6082,8,5,10400000,2,1,0,0,0,0,"web",0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,"closed"
"KY",38.241467,-85.724511,"40204","c:30290","Louisville","Resonant Vibes",2004-01-01,2012-04-27,2008-11-25,2008-11-25,4.9041,4.9041,NA,NA,0,1,350000,0,0,0,0,0,1,"web",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"closed"
"NY",40.70276,-73.986668,"11201","c:1491","Brooklyn","drop.io",2007-11-26,NA,2007-12-03,2010-05-03,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,0,1,0,0,0,"education",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,"acquired"
"CO",39.7462728,-104.9911572,"80202","c:15645","Denver","Stratavia",2001-01-01,NA,2005-08-31,2009-12-29,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,0,0,0,0,1,"software",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"acquired"
"VA",38.901301,-77.265158,"22182","c:54177","Vienna","Invicta Networks",1999-01-01,2010-03-28,2005-08-09,2005-08-09,6.6082,6.6082,NA,NA,0,1,2e+05,0,0,0,0,0,1,"public_relations",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"closed"
"CA",37.3962827,-122.105531,"94022","c:16770","Los Altos","QSecure",2003-01-01,2012-09-22,2005-08-02,2009-10-05,2.5863,6.7644,5.5014,5.5014,8,5,4.9e+07,1,1,0,0,0,0,"security",0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,"closed"
"CA",37.590339,-122.341715,"94010","c:107","Burlingame","MeeVee",2000-07-01,NA,2005-02-01,2007-09-01,4.5918,7.1726,-0.4986,12.6795,7,4,2.5e+07,3,1,0,0,0,0,"games_video",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,"acquired"
"NY",40.730646,-73.986614,"10004","c:50727","New York","SinglePlatform",2010-01-01,NA,2010-09-29,2011-08-01,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,0,1,0,0,0,"web",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,"acquired"
"CA",37.446411,-122.16054,"94301","c:26368","Palo Alto","Bling Nation",2007-01-01,2011-09-10,2009-07-02,2009-10-30,2.5014,2.8301,3.0877,3.4932,13,2,2.8e+07,3,1,0,0,0,0,"enterprise",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,"closed"
"TX",30.2350399,-97.8001299,"78735","c:22291","Austin","Metreos Corporation",2001-01-01,NA,2003-03-20,2004-10-14,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,0,0,0,1,0,"software",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"acquired"
"WA",47.6026054,-122.2848651,"98122","c:17857","Seattle","Hidden City Games",2004-01-01,2011-09-28,2007-10-31,2007-10-31,3.8329,3.8329,3.7507,3.7507,3,1,1.5e+07,1,0,0,0,0,1,"other",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"closed"
"CA",37.426316,-122.141082,"94306","c:15888","Palo Alto","Neopolitan Networks",2002-01-01,2008-07-25,2007-06-28,2007-06-28,5.4904,5.4904,0,0,1,1,3170000,1,1,0,0,0,0,"web",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"closed"
"CA",37.764395,-122.401024,"94103","c:10751","San Francisco","Pixelpipe",2008-01-01,2013-08-02,2007-01-01,2011-04-25,-1,3.3151,3.6959,5.663,4,2,2300000,3,1,0,0,0,0,"mobile",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"closed"
"CO",40.010492,-105.276843,"80302","c:458","Boulder","EventVue",2007-05-01,2010-02-01,2007-08-01,2007-09-01,0.2521,0.337,NA,NA,5,2,455000,0,0,0,0,0,1,"public_relations",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,"closed"
"IL",41.875555,-87.624421,"60601","c:45525","Chicago","BridgePort Networks",2002-01-01,NA,2006-11-03,2006-11-03,4.8411,4.8411,1,1,3,1,1.3e+07,1,0,0,0,0,1,"software",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"acquired"
"CA",37.429676,-122.1085482,"94303","c:3193","Palo Alto","Scalent Systems",2003-01-01,NA,2007-01-22,2007-01-22,4.0603,4.0603,3.0027,3.0027,7,1,1.5e+07,1,1,0,0,0,0,"public_relations",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"acquired"
"CA",37.870102,-122.268136,"94704","c:28456","Berkeley","IQ Engines",2008-06-01,NA,2012-06-25,2012-06-25,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,1,0,0,0,0,"photo_video",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"acquired"
"TX",30.2653441,-97.7435857,"78701","c:36920","Austin","RetailMeNot, Inc.",2007-05-01,NA,2009-11-01,2011-11-10,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,0,0,0,1,0,"web",0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,"acquired"
"CA",33.708708,-117.852069,"92705","c:35712","Santa Ana","Mophie",2005-05-24,NA,2006-08-01,2006-08-01,1.189,1.189,2.189,7.7753,5,1,1e+06,3,1,0,0,0,0,"hardware",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,"acquired"
"CA",37.422859,-122.045217,"94035","c:21492","Moffett Field","Airship Ventures",2007-01-01,2012-11-14,2008-05-09,2009-03-01,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,1,0,0,0,0,"other",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"closed"
"WA",47.603832,-122.330062,"98119","c:28768","Seattle","Lockdown Networks",2001-01-01,NA,2005-02-25,2006-03-02,4.1534,5.1671,3,3,6,2,8600000,1,0,0,0,0,1,"public_relations",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,"acquired"
"NC",36.002893,-78.904075,"27701","c:27741","Durham","eMinor",2006-10-01,2012-02-17,2006-08-01,2008-10-07,-0.1671,2.0192,NA,NA,9,2,5e+06,0,0,0,0,0,1,"software",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"closed"
"CA",37.779281,-122.419236,"94105","c:150658","San Francisco","Karma",2011-01-01,NA,2011-01-01,2011-11-14,0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,0,"mobile",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"acquired"
"PA",40.441694,-79.990086,"15219","c:34338","Pittsburgh","Zipano",2009-06-01,2012-05-27,2009-07-01,2009-07-01,0.0822,0.0822,NA,NA,2,1,25000,0,0,0,0,0,1,"security",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"closed"
"NY",40.73901,-73.997259,"10011","c:45111","New York","Entertainment Media Works",2004-07-01,2008-10-01,2007-02-26,2007-02-26,2.6575,2.6575,0,0,1,1,4e+06,1,0,1,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"closed"
"CA",37.791137,-122.391843,"94111","c:3178","San Francisco","Elastra",2007-01-01,2011-01-28,2007-08-15,2008-08-05,0.6192,1.5945,1,4.3315,8,2,14600000,3,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"closed"
"CA",37.404788,-121.940842,"95134","c:35402","San Jose","RPO",2005-01-01,2013-06-01,2006-01-24,2010-09-13,1.063,5.7014,NA,NA,0,3,4.4e+07,0,1,0,0,0,0,"hardware",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,"closed"
"CA",37.7795014,-122.3948712,"94107","c:22856","San Francisco","Fotomoto",2008-10-01,NA,2008-12-01,2011-05-26,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,1,0,0,0,0,"ecommerce",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,"acquired"
"NY",40.755446,-73.980246,"10010","c:1224","New York","Peer39",2006-03-01,NA,2006-03-01,2012-01-24,0,5.9041,3.8411,7.137,18,7,29915001,5,0,1,0,0,0,"advertising",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,"acquired"
"GA",33.756806,-84.392198,"30303","c:1234","Atlanta","Vitrue",2006-05-01,NA,2006-05-01,2011-02-17,0,4.8027,3.7205,7.6164,26,4,3.3e+07,5,0,0,0,0,1,"enterprise",0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,"acquired"
"NH",42.99564,-71.454789,"3101","c:149809","Manchester","Trendslide",2011-08-01,NA,2011-08-01,2012-03-01,0,0.5836,0.5836,0.5945,9,2,125000,2,0,0,0,0,1,"mobile",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"acquired"
"CA",40.0157332,-105.275027,"94025","c:13733","Menlo Park","PublicEarth",2008-01-01,2011-02-15,2008-02-08,2010-05-21,0.1041,2.3863,2.3315,2.7918,7,2,4e+06,2,1,0,0,0,0,"travel",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,"closed"
"WA",47.63609,-122.327028,"98102","c:39106","Seattle","Azaleos",2004-05-11,NA,2007-11-06,2007-11-06,3.4904,3.4904,5.6603,8.3425,10,1,1e+07,3,0,0,0,0,1,"enterprise",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,"acquired"
"CA",37.4049731,-122.0323525,"94089","c:5306","Sunnyvale","Efficient Frontier",2002-01-01,NA,2006-08-31,2006-08-31,4.6658,4.6658,8.7425,10.2247,25,1,6e+06,4,1,0,0,0,0,"advertising",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,"acquired"
"CA",37.36883,-122.03635,"94085","c:16303","Sunnyvale","NetDevices",2003-01-01,NA,2005-08-16,2005-08-16,2.6247,2.6247,NA,NA,4,1,2.5e+07,0,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"acquired"
"NY",40.730646,-73.986614,"100011","c:43188","New York","Go Try It On",2009-12-01,NA,2010-11-04,2012-11-13,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,0,1,0,0,0,"fashion",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,"acquired"
"MA",42.3751,-71.105616,"2139","c:33507","Cambridge","Performable",2009-10-17,NA,2010-01-15,2010-01-15,0.2466,0.2466,1.1178,1.663,9,1,3e+06,2,0,0,1,0,0,"software",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"acquired"
"CA",37.779281,-122.419236,"94607","c:68157","San Francisco","Appstores.com",2010-05-24,NA,2010-08-01,2011-08-01,0.189,1.189,1.3562,1.6575,6,2,1155000,2,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"acquired"
"CA",37.560781,-122.284114,"94404","c:2395","San Mateo","Fortify Software",2002-10-01,NA,2005-12-15,2005-12-15,3.2082,3.2082,5.2548,7.8822,11,1,1e+07,2,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"acquired"
"CA",37.658313,-122.391032,"94080","c:38220","South San Francisco","iCurrent",2006-01-01,NA,2008-08-01,2008-08-01,2.5836,2.5836,2,2,5,1,3e+06,1,1,0,0,0,0,"web",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"acquired"
"MA",42.360253,-71.058291,"2210","c:49815","Boston","AisleBuyer",2009-01-01,NA,2010-11-23,2011-06-13,1.8932,2.4466,2,3.2767,4,2,11500000,3,0,0,1,0,0,"mobile",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"acquired"
"TX",30.321464,-97.75501,"78731","c:249","Austin","Indeed",2004-11-01,NA,2005-08-01,2005-08-01,0.7479,0.7479,4.0493,8.3233,12,1,5e+06,5,0,0,0,1,0,"web",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"acquired"
"MA",42.37564,-71.2358,"2451","c:22027","Waltham","Colubris Networks",2000-01-01,NA,2005-03-08,2006-10-23,5.1863,6.8137,7.3342,7.3342,9,2,2.9e+07,1,0,0,1,0,0,"public_relations",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,"acquired"
"CA",37.7870842,-122.4038047,"94103","c:109","San Francisco","Mashery",2006-05-01,NA,2007-01-01,2012-07-23,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,1,0,0,0,0,"enterprise",0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,"acquired"
"CA",37.441537,-122.158332,"94301","c:43948","Palo Alto","Transparency Software",2004-01-01,2009-01-01,2005-03-09,2007-07-01,1.1863,3.4986,NA,NA,0,2,12050000,0,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"closed"
"CA",37.445586,-122.161929,"95128","c:765","Palo Alto","Viewdle",2006-01-01,NA,2008-03-01,2010-10-05,2.1644,4.7616,4.0027,6.7534,13,3,1.2e+07,2,1,0,0,0,0,"analytics",0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,"acquired"
"CA",33.5842816,-117.7306817,"92656","c:19257","Aliso Viejo","Enclarity",2005-02-01,NA,2009-03-10,2009-03-10,4.1041,4.1041,1.9151,1.9151,18,1,5500000,1,1,0,0,0,0,"consulting",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"acquired"
"CA",37.402773,-122.052551,"94089","c:25827","Sunnyvale","Virsto Software",2007-07-01,NA,2009-06-26,2011-08-25,1.989,4.1534,2.8986,5.2575,10,3,2.4e+07,4,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"acquired"
"MO",39.103151,-94.581908,"64106","c:5932","Kansas City","Handmark",2000-07-01,NA,2005-09-12,2006-09-07,5.2027,6.189,7.5068,12.8932,6,2,1e+07,2,0,0,0,0,1,"mobile",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"acquired"
"MA",42.546483,-71.173667,"1887","c:35157","Wilmington","Viacor",1999-12-01,2011-11-11,2002-09-12,2010-11-10,2.7836,10.9507,-1.9151,-1.9151,10,3,19009671,1,0,0,1,0,0,"biotech",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,"closed"
"CA",37.805289,-122.404448,"94111","c:8596","San Francisco","Carbonetworks",2005-01-01,2011-07-28,2008-07-01,2008-07-01,3.4986,3.4986,3,3,6,1,5e+06,1,1,0,0,0,0,"cleantech",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"closed"
"WA",47.675489,-122.191667,"98033-6314","c:19861","Kirkland","SchemaLogic",2001-01-01,NA,2005-01-17,2010-04-20,4.0466,9.3041,6.0027,6.0027,2,5,18914576,1,0,0,0,0,1,"enterprise",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,"acquired"
"FL",27.951849,-82.456397,"33609","c:45114","Tampa","Skyway Software",2001-01-01,2012-10-01,2007-05-16,2007-05-16,6.3726,6.3726,NA,NA,0,1,4e+06,0,0,0,0,0,1,"software",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"closed"
"MA",42.360253,-71.058291,"02111-1720","c:23533","Boston","CardStar",2008-12-01,NA,2010-03-30,2011-09-13,1.326,2.7836,1.674,3.1342,5,3,2030882,2,0,0,1,0,0,"software",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"acquired"
"CA",37.7831775,-122.3086191,"94501","c:25325","Alameda","Makani Power",2006-01-01,NA,2008-08-23,2008-08-23,2.6438,2.6438,0,7.3918,4,1,5e+06,2,1,0,0,0,0,"cleantech",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"acquired"
"WA",47.765758,-122.184304,"98011","c:8351","Bothell","Myrio",1999-12-01,2012-01-01,2001-01-01,2001-01-01,1.0877,1.0877,NA,NA,5,1,20500000,0,0,0,0,0,1,"software",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"closed"
"CO",40.730646,-73.986614,"80302","c:10392","Boulder","Intela",2006-02-02,NA,2010-01-18,2012-08-09,3.9616,6.5205,4.5781,7.6877,4,2,13250000,4,0,0,0,0,1,"advertising",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"acquired"
"CA",37.54763,-122.307887,"94403-1855","c:26128","San Mateo","Sana Security",2000-01-01,NA,2007-04-02,2007-04-02,7.2548,7.2548,7.0055,7.0055,7,1,1.2e+07,1,1,0,0,0,0,"security",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"acquired"
"CA",37.790485,-122.40094,"94104","c:2808","San Francisco","Sportgenic",2005-09-01,NA,2007-01-01,2008-09-09,1.3342,3.0247,3.0219,3.337,9,3,11489687,2,1,0,0,0,0,"advertising",0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,"acquired"
"CA",37.7870923,-122.3999719,"94105","c:10581","San Francisco","Lolapps",2008-01-01,NA,2008-09-05,2008-09-05,0.6795,0.6795,2.9178,4.2274,15,1,4e+06,3,1,0,0,0,0,"web",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"acquired"
"CA",37.3492097,-122.0326019,"94087","c:190214","Sunnyvale","Behavio",2012-06-12,NA,2012-06-01,2012-06-01,-0.0301,-0.0301,0.137,0.137,3,1,355000,1,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"acquired"
"FL",28.098905,-82.400087,"33626","c:1674","Tampa","Infinity Box",2006-01-01,NA,2006-01-01,2006-04-01,0,0.2466,2.4164,5.3151,10,2,118000,3,0,0,0,0,1,"web",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"acquired"
"CA",37.779026,-122.40184,"94103","c:170","San Francisco","adBrite",2003-01-01,2001-02-01,2004-09-01,2012-05-01,1.6685,9.337,7.3808,10.474,17,4,40400000,3,1,0,0,0,0,"advertising",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,"acquired"
"TX",32.9583632,-96.8215658,"75001","c:27740","Dallas","Texert",2007-01-01,2008-07-14,2008-10-21,2008-10-21,1.8055,1.8055,NA,NA,1,1,3e+06,0,0,0,0,1,0,"software",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"closed"
"CA",37.54827,-121.988572,"94538","c:46186","Fremont","Mendocino Software",2003-01-01,2008-02-07,2005-09-12,2007-01-01,2.6986,4.0027,1,1,2,2,19700000,1,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"closed"
"CA",37.354469,-121.990433,"95051","c:43162","Santa Clara","QuikCycle",1998-01-01,2011-01-01,2007-03-01,2007-03-12,9.1671,9.1973,NA,NA,0,2,17800000,0,1,0,0,0,0,"software",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"closed"
"CA",37.779281,-122.419236,"94107","c:43233","San Francisco","Instagram",2010-03-01,NA,2010-03-05,2012-04-05,0.011,2.0986,3.0904,3.7836,12,3,57500000,3,1,0,0,0,0,"photo_video",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,"acquired"
"NY",40.606061,-73.822331,"10004","c:1498","New York","Motionbox",2006-01-01,NA,2006-09-01,2009-01-14,0.6658,3.0384,2,5.0548,10,3,17200000,5,0,1,0,0,0,"games_video",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,"acquired"
"MA",42.3751,-71.105616,"2138","c:31514","Cambridge","AccelGolf",2008-08-01,2013-05-01,2008-01-01,2009-12-04,-0.5836,1.3425,0,1.5479,4,7,457282,2,0,0,1,0,0,"mobile",0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"closed"
"CA",37.779281,-122.419236,"94105","c:58944","San Francisco","MoPub",2010-09-09,NA,2010-09-01,2012-09-20,-0.0219,2.0329,2.3151,3.1644,11,4,18500000,3,1,0,0,0,0,"mobile",0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,"acquired"
"NJ",40.349274,-74.659296,"8540","c:40197","Princeton","DNP Green Technology",2008-01-01,2012-08-24,2010-01-17,2010-01-17,2.0466,2.0466,NA,NA,2,1,1.2e+07,0,0,0,0,0,1,"cleantech",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"closed"
"CO",40.397761,-105.07498,"80538","c:51023","Loveland","Abound Solar",2007-01-01,2012-11-01,2010-07-06,2010-12-15,3.5123,3.9562,3.9534,4.8356,5,2,5.1e+08,3,0,0,0,0,1,"cleantech",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,"closed"
"CA",37.420428,-122.090769,"94043","c:13168","Mountain View","Trovix",2002-01-01,NA,2005-12-07,2006-09-06,3.9342,4.6822,4.0027,4.0027,3,2,18250000,1,1,0,0,0,0,"search",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"acquired"
"NY",40.725435,-73.997395,"10012","c:649","New York","Thumbplay",2004-09-01,NA,2006-10-30,2010-04-21,2.1616,5.6384,3.8329,7.6932,13,4,41500019,5,0,1,0,0,0,"music",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"acquired"
"WV",39.388156,-77.885552,"25430","c:52694","Kearneysville","Plethora Technology",2000-01-01,2009-05-23,2005-06-09,2005-06-09,5.4411,5.4411,NA,NA,1,1,1e+06,0,0,0,0,0,1,"software",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"closed"
"CA",34.043948,-118.468204,"90025","c:3080","Los Angeles","DailyStrength",2006-04-01,NA,2007-05-18,2007-05-18,1.1288,1.1288,1,2.6767,7,1,5e+06,2,1,0,0,0,0,"web",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"acquired"
"MI",42.350749,-83.444589,"48187","c:28424","Canton","Danotek Motion Technologies",2001-01-01,2013-05-01,2008-11-19,2011-08-30,7.8877,10.6658,0.4137,0.4137,2,3,42700000,1,0,0,0,0,1,"cleantech",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,"closed"
"CA",37.388869,-122.072353,"94041","c:280611","Mountain View","Yub",2013-01-01,2005-01-01,2013-11-19,2013-11-19,0.8822,0.8822,NA,NA,7,1,1.2e+07,0,1,0,0,0,0,"ecommerce",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"closed"
"WA",47.614018,-122.19655,"98004","c:30537","Bellevue","SNAPin Software",2003-01-01,NA,2005-07-11,2006-02-07,2.526,3.1041,3.0027,9.126,5,2,22300000,2,0,0,0,0,1,"software",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"acquired"
"CA",37.406217,-121.976473,"95054","c:14656","Santa Clara","Azuro",2002-01-01,NA,2006-01-01,2009-11-13,4.0027,7.8712,0.1616,0.1616,5,2,1e+07,1,1,0,0,0,0,"semiconductor",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,"acquired"
"DC",37.09024,-95.712891,"20007","c:1766","Washington","ARPU",2005-05-01,2010-05-04,2006-07-01,2009-12-29,1.1671,4.6658,NA,NA,1,3,15564591,0,0,0,0,0,1,"advertising",0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,"closed"
"CA",37.779281,-122.419236,"94105","c:16938","San Francisco","BookFresh",2007-01-01,NA,2009-07-28,2009-07-28,2.5726,2.5726,2.4795,4.6685,7,1,5e+05,2,1,0,0,0,0,"web",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"acquired"
